date,is_trade,is_week_end,is_month_end,is_quarter_end,is_year_end,trade_day_rank,year,month,day,next_trade_year,next_trade_month,next_trade_day,last_trade_year,last_trade_month,last_trade_day
2020-12-14,1,0,0,0,0,7329,2020,12,14,2020,12,15,2020,12,11
2020-12-15,1,0,0,0,0,7330,2020,12,15,2020,12,16,2020,12,14
2020-12-16,1,0,0,0,0,7331,2020,12,16,2020,12,17,2020,12,15
2020-12-17,1,0,0,0,0,7332,2020,12,17,2020,12,18,2020,12,16
2020-12-18,1,1,0,0,0,7333,2020,12,18,2020,12,21,2020,12,17
2020-12-19,0,0,0,0,0,0,2020,12,19,2020,12,21,2020,12,18
2020-12-20,0,0,0,0,0,0,2020,12,20,2020,12,21,2020,12,18
2020-12-21,1,0,0,0,0,7334,2020,12,21,2020,12,22,2020,12,18
2020-12-22,1,0,0,0,0,7335,2020,12,22,2020,12,23,2020,12,21
2020-12-23,1,0,0,0,0,7336,2020,12,23,2020,12,24,2020,12,22
2020-12-24,1,0,0,0,0,7337,2020,12,24,2020,12,25,2020,12,23
2020-12-25,1,1,0,0,0,7338,2020,12,25,2020,12,28,2020,12,24
2020-12-26,0,0,0,0,0,0,2020,12,26,2020,12,28,2020,12,25
2020-12-27,0,0,0,0,0,0,2020,12,27,2020,12,28,2020,12,25
2020-12-28,1,0,0,0,0,7339,2020,12,28,2020,12,29,2020,12,25
2020-12-29,1,0,0,0,0,7340,2020,12,29,2020,12,30,2020,12,28
2020-12-30,1,0,0,0,0,7341,2020,12,30,2020,12,31,2020,12,29
2020-12-31,1,1,1,1,1,7342,2020,12,31,2021,1,4,2020,12,30
2021-01-01,0,0,0,0,0,0,2021,1,1,2021,1,4,2020,12,31
2021-01-02,0,0,0,0,0,0,2021,1,2,2021,1,4,2020,12,31
2021-01-03,0,0,0,0,0,0,2021,1,3,2021,1,4,2020,12,31
2021-01-04,1,0,0,0,0,7343,2021,1,4,2021,1,5,2020,12,31
2021-01-05,1,0,0,0,0,7344,2021,1,5,2021,1,6,2021,1,4
2021-01-06,1,0,0,0,0,7345,2021,1,6,2021,1,7,2021,1,5
2021-01-07,1,0,0,0,0,7346,2021,1,7,2021,1,8,2021,1,6
2021-01-08,1,1,0,0,0,7347,2021,1,8,2021,1,11,2021,1,7
2021-01-09,0,0,0,0,0,0,2021,1,9,2021,1,11,2021,1,8
2021-01-10,0,0,0,0,0,0,2021,1,10,2021,1,11,2021,1,8
2021-01-11,1,0,0,0,0,7348,2021,1,11,2021,1,12,2021,1,8
2021-01-12,1,0,0,0,0,7349,2021,1,12,2021,1,13,2021,1,11
2021-01-13,1,0,0,0,0,7350,2021,1,13,2021,1,14,2021,1,12
2021-01-14,1,0,0,0,0,7351,2021,1,14,2021,1,15,2021,1,13
2021-01-15,1,1,0,0,0,7352,2021,1,15,2021,1,18,2021,1,14
2021-01-16,0,0,0,0,0,0,2021,1,16,2021,1,18,2021,1,15
2021-01-17,0,0,0,0,0,0,2021,1,17,2021,1,18,2021,1,15
2021-01-18,1,0,0,0,0,7353,2021,1,18,2021,1,19,2021,1,15
2021-01-19,1,0,0,0,0,7354,2021,1,19,2021,1,20,2021,1,18
2021-01-20,1,0,0,0,0,7355,2021,1,20,2021,1,21,2021,1,19
2021-01-21,1,0,0,0,0,7356,2021,1,21,2021,1,22,2021,1,20
2021-01-22,1,1,0,0,0,7357,2021,1,22,2021,1,25,2021,1,21
2021-01-23,0,0,0,0,0,0,2021,1,23,2021,1,25,2021,1,22
2021-01-24,0,0,0,0,0,0,2021,1,24,2021,1,25,2021,1,22
2021-01-25,1,0,0,0,0,7358,2021,1,25,2021,1,26,2021,1,22
2021-01-26,1,0,0,0,0,7359,2021,1,26,2021,1,27,2021,1,25
2021-01-27,1,0,0,0,0,7360,2021,1,27,2021,1,28,2021,1,26
2021-01-28,1,0,0,0,0,7361,2021,1,28,2021,1,29,2021,1,27
2021-01-29,1,1,1,0,0,7362,2021,1,29,2021,2,1,2021,1,28
2021-01-30,0,0,0,0,0,0,2021,1,30,2021,2,1,2021,1,29
2021-01-31,0,0,0,0,0,0,2021,1,31,2021,2,1,2021,1,29
2021-02-01,1,0,0,0,0,7363,2021,2,1,2021,2,2,2021,1,29
2021-02-02,1,0,0,0,0,7364,2021,2,2,2021,2,3,2021,2,1
2021-02-03,1,0,0,0,0,7365,2021,2,3,2021,2,4,2021,2,2
2021-02-04,1,0,0,0,0,7366,2021,2,4,2021,2,5,2021,2,3
2021-02-05,1,1,0,0,0,7367,2021,2,5,2021,2,8,2021,2,4
2021-02-06,0,0,0,0,0,0,2021,2,6,2021,2,8,2021,2,5
2021-02-07,0,0,0,0,0,0,2021,2,7,2021,2,8,2021,2,5
2021-02-08,1,0,0,0,0,7368,2021,2,8,2021,2,9,2021,2,5
2021-02-09,1,0,0,0,0,7369,2021,2,9,2021,2,10,2021,2,8
2021-02-10,1,1,0,0,0,7370,2021,2,10,2021,2,18,2021,2,9
2021-02-11,0,0,0,0,0,0,2021,2,11,2021,2,18,2021,2,10
2021-02-12,0,0,0,0,0,0,2021,2,12,2021,2,18,2021,2,10
2021-02-13,0,0,0,0,0,0,2021,2,13,2021,2,18,2021,2,10
2021-02-14,0,0,0,0,0,0,2021,2,14,2021,2,18,2021,2,10
2021-02-15,0,0,0,0,0,0,2021,2,15,2021,2,18,2021,2,10
2021-02-16,0,0,0,0,0,0,2021,2,16,2021,2,18,2021,2,10
2021-02-17,0,0,0,0,0,0,2021,2,17,2021,2,18,2021,2,10
2021-02-18,1,0,0,0,0,7371,2021,2,18,2021,2,19,2021,2,10
2021-02-19,1,1,0,0,0,7372,2021,2,19,2021,2,22,2021,2,18
2021-02-20,0,0,0,0,0,0,2021,2,20,2021,2,22,2021,2,19
2021-02-21,0,0,0,0,0,0,2021,2,21,2021,2,22,2021,2,19
2021-02-22,1,0,0,0,0,7373,2021,2,22,2021,2,23,2021,2,19
2021-02-23,1,0,0,0,0,7374,2021,2,23,2021,2,24,2021,2,22
2021-02-24,1,0,0,0,0,7375,2021,2,24,2021,2,25,2021,2,23
2021-02-25,1,0,0,0,0,7376,2021,2,25,2021,2,26,2021,2,24
2021-02-26,1,1,1,0,0,7377,2021,2,26,2021,3,1,2021,2,25
2021-02-27,0,0,0,0,0,0,2021,2,27,2021,3,1,2021,2,26
2021-02-28,0,0,0,0,0,0,2021,2,28,2021,3,1,2021,2,26
2021-03-01,1,0,0,0,0,7378,2021,3,1,2021,3,2,2021,2,26
2021-03-02,1,0,0,0,0,7379,2021,3,2,2021,3,3,2021,3,1
2021-03-03,1,0,0,0,0,7380,2021,3,3,2021,3,4,2021,3,2
2021-03-04,1,0,0,0,0,7381,2021,3,4,2021,3,5,2021,3,3
2021-03-05,1,1,0,0,0,7382,2021,3,5,2021,3,8,2021,3,4
2021-03-06,0,0,0,0,0,0,2021,3,6,2021,3,8,2021,3,5
2021-03-07,0,0,0,0,0,0,2021,3,7,2021,3,8,2021,3,5
2021-03-08,1,0,0,0,0,7383,2021,3,8,2021,3,9,2021,3,5
2021-03-09,1,0,0,0,0,7384,2021,3,9,2021,3,10,2021,3,8
2021-03-10,1,0,0,0,0,7385,2021,3,10,2021,3,11,2021,3,9
2021-03-11,1,0,0,0,0,7386,2021,3,11,2021,3,12,2021,3,10
2021-03-12,1,1,0,0,0,7387,2021,3,12,2021,3,15,2021,3,11
2021-03-13,0,0,0,0,0,0,2021,3,13,2021,3,15,2021,3,12
2021-03-14,0,0,0,0,0,0,2021,3,14,2021,3,15,2021,3,12
2021-03-15,1,0,0,0,0,7388,2021,3,15,2021,3,16,2021,3,12
2021-03-16,1,0,0,0,0,7389,2021,3,16,2021,3,17,2021,3,15
2021-03-17,1,0,0,0,0,7390,2021,3,17,2021,3,18,2021,3,16
2021-03-18,1,0,0,0,0,7391,2021,3,18,2021,3,19,2021,3,17
2021-03-19,1,1,0,0,0,7392,2021,3,19,2021,3,22,2021,3,18
2021-03-20,0,0,0,0,0,0,2021,3,20,2021,3,22,2021,3,19
2021-03-21,0,0,0,0,0,0,2021,3,21,2021,3,22,2021,3,19
2021-03-22,1,0,0,0,0,7393,2021,3,22,2021,3,23,2021,3,19
2021-03-23,1,0,0,0,0,7394,2021,3,23,2021,3,24,2021,3,22
2021-03-24,1,0,0,0,0,7395,2021,3,24,2021,3,25,2021,3,23
2021-03-25,1,0,0,0,0,7396,2021,3,25,2021,3,26,2021,3,24
2021-03-26,1,1,0,0,0,7397,2021,3,26,2021,3,29,2021,3,25
2021-03-27,0,0,0,0,0,0,2021,3,27,2021,3,29,2021,3,26
2021-03-28,0,0,0,0,0,0,2021,3,28,2021,3,29,2021,3,26
2021-03-29,1,0,0,0,0,7398,2021,3,29,2021,3,30,2021,3,26
2021-03-30,1,0,0,0,0,7399,2021,3,30,2021,3,31,2021,3,29
2021-03-31,1,0,1,1,0,7400,2021,3,31,2021,4,1,2021,3,30
2021-04-01,1,0,0,0,0,7401,2021,4,1,2021,4,2,2021,3,31
2021-04-02,1,1,0,0,0,7402,2021,4,2,2021,4,6,2021,4,1
2021-04-03,0,0,0,0,0,0,2021,4,3,2021,4,6,2021,4,2
2021-04-04,0,0,0,0,0,0,2021,4,4,2021,4,6,2021,4,2
2021-04-05,0,0,0,0,0,0,2021,4,5,2021,4,6,2021,4,2
2021-04-06,1,0,0,0,0,7403,2021,4,6,2021,4,7,2021,4,2
2021-04-07,1,0,0,0,0,7404,2021,4,7,2021,4,8,2021,4,6
2021-04-08,1,0,0,0,0,7405,2021,4,8,2021,4,9,2021,4,7
2021-04-09,1,1,0,0,0,7406,2021,4,9,2021,4,12,2021,4,8
2021-04-10,0,0,0,0,0,0,2021,4,10,2021,4,12,2021,4,9
2021-04-11,0,0,0,0,0,0,2021,4,11,2021,4,12,2021,4,9
2021-04-12,1,0,0,0,0,7407,2021,4,12,2021,4,13,2021,4,9
2021-04-13,1,0,0,0,0,7408,2021,4,13,2021,4,14,2021,4,12
2021-04-14,1,0,0,0,0,7409,2021,4,14,2021,4,15,2021,4,13
2021-04-15,1,0,0,0,0,7410,2021,4,15,2021,4,16,2021,4,14
2021-04-16,1,1,0,0,0,7411,2021,4,16,2021,4,19,2021,4,15
2021-04-17,0,0,0,0,0,0,2021,4,17,2021,4,19,2021,4,16
2021-04-18,0,0,0,0,0,0,2021,4,18,2021,4,19,2021,4,16
2021-04-19,1,0,0,0,0,7412,2021,4,19,2021,4,20,2021,4,16
2021-04-20,1,0,0,0,0,7413,2021,4,20,2021,4,21,2021,4,19
2021-04-21,1,0,0,0,0,7414,2021,4,21,2021,4,22,2021,4,20
2021-04-22,1,0,0,0,0,7415,2021,4,22,2021,4,23,2021,4,21
2021-04-23,1,1,0,0,0,7416,2021,4,23,2021,4,26,2021,4,22
2021-04-24,0,0,0,0,0,0,2021,4,24,2021,4,26,2021,4,23
2021-04-25,0,0,0,0,0,0,2021,4,25,2021,4,26,2021,4,23
2021-04-26,1,0,0,0,0,7417,2021,4,26,2021,4,27,2021,4,23
2021-04-27,1,0,0,0,0,7418,2021,4,27,2021,4,28,2021,4,26
2021-04-28,1,0,0,0,0,7419,2021,4,28,2021,4,29,2021,4,27
2021-04-29,1,0,0,0,0,7420,2021,4,29,2021,4,30,2021,4,28
2021-04-30,1,1,1,0,0,7421,2021,4,30,2021,5,6,2021,4,29
2021-05-01,0,0,0,0,0,0,2021,5,1,2021,5,6,2021,4,30
2021-05-02,0,0,0,0,0,0,2021,5,2,2021,5,6,2021,4,30
2021-05-03,0,0,0,0,0,0,2021,5,3,2021,5,6,2021,4,30
2021-05-04,0,0,0,0,0,0,2021,5,4,2021,5,6,2021,4,30
2021-05-05,0,0,0,0,0,0,2021,5,5,2021,5,6,2021,4,30
2021-05-06,1,0,0,0,0,7422,2021,5,6,2021,5,7,2021,4,30
2021-05-07,1,1,0,0,0,7423,2021,5,7,2021,5,10,2021,5,6
2021-05-08,0,0,0,0,0,0,2021,5,8,2021,5,10,2021,5,7
2021-05-09,0,0,0,0,0,0,2021,5,9,2021,5,10,2021,5,7
2021-05-10,1,0,0,0,0,7424,2021,5,10,2021,5,11,2021,5,7
2021-05-11,1,0,0,0,0,7425,2021,5,11,2021,5,12,2021,5,10
2021-05-12,1,0,0,0,0,7426,2021,5,12,2021,5,13,2021,5,11
2021-05-13,1,0,0,0,0,7427,2021,5,13,2021,5,14,2021,5,12
2021-05-14,1,1,0,0,0,7428,2021,5,14,2021,5,17,2021,5,13
2021-05-15,0,0,0,0,0,0,2021,5,15,2021,5,17,2021,5,14
2021-05-16,0,0,0,0,0,0,2021,5,16,2021,5,17,2021,5,14
2021-05-17,1,0,0,0,0,7429,2021,5,17,2021,5,18,2021,5,14
2021-05-18,1,0,0,0,0,7430,2021,5,18,2021,5,19,2021,5,17
2021-05-19,1,0,0,0,0,7431,2021,5,19,2021,5,20,2021,5,18
2021-05-20,1,0,0,0,0,7432,2021,5,20,2021,5,21,2021,5,19
2021-05-21,1,1,0,0,0,7433,2021,5,21,2021,5,24,2021,5,20
2021-05-22,0,0,0,0,0,0,2021,5,22,2021,5,24,2021,5,21
2021-05-23,0,0,0,0,0,0,2021,5,23,2021,5,24,2021,5,21
2021-05-24,1,0,0,0,0,7434,2021,5,24,2021,5,25,2021,5,21
2021-05-25,1,0,0,0,0,7435,2021,5,25,2021,5,26,2021,5,24
2021-05-26,1,0,0,0,0,7436,2021,5,26,2021,5,27,2021,5,25
2021-05-27,1,0,0,0,0,7437,2021,5,27,2021,5,28,2021,5,26
2021-05-28,1,1,0,0,0,7438,2021,5,28,2021,5,31,2021,5,27
2021-05-29,0,0,0,0,0,0,2021,5,29,2021,5,31,2021,5,28
2021-05-30,0,0,0,0,0,0,2021,5,30,2021,5,31,2021,5,28
2021-05-31,1,0,1,0,0,7439,2021,5,31,2021,6,1,2021,5,28
2021-06-01,1,0,0,0,0,7440,2021,6,1,2021,6,2,2021,5,31
2021-06-02,1,0,0,0,0,7441,2021,6,2,2021,6,3,2021,6,1
2021-06-03,1,0,0,0,0,7442,2021,6,3,2021,6,4,2021,6,2
2021-06-04,1,1,0,0,0,7443,2021,6,4,2021,6,7,2021,6,3
2021-06-05,0,0,0,0,0,0,2021,6,5,2021,6,7,2021,6,4
2021-06-06,0,0,0,0,0,0,2021,6,6,2021,6,7,2021,6,4
2021-06-07,1,0,0,0,0,7444,2021,6,7,2021,6,8,2021,6,4
2021-06-08,1,0,0,0,0,7445,2021,6,8,2021,6,9,2021,6,7
2021-06-09,1,0,0,0,0,7446,2021,6,9,2021,6,10,2021,6,8
2021-06-10,1,0,0,0,0,7447,2021,6,10,2021,6,11,2021,6,9
2021-06-11,1,1,0,0,0,7448,2021,6,11,2021,6,15,2021,6,10
2021-06-12,0,0,0,0,0,0,2021,6,12,2021,6,15,2021,6,11
2021-06-13,0,0,0,0,0,0,2021,6,13,2021,6,15,2021,6,11
2021-06-14,0,0,0,0,0,0,2021,6,14,2021,6,15,2021,6,11
2021-06-15,1,0,0,0,0,7449,2021,6,15,2021,6,16,2021,6,11
2021-06-16,1,0,0,0,0,7450,2021,6,16,2021,6,17,2021,6,15
2021-06-17,1,0,0,0,0,7451,2021,6,17,2021,6,18,2021,6,16
2021-06-18,1,1,0,0,0,7452,2021,6,18,2021,6,21,2021,6,17
2021-06-19,0,0,0,0,0,0,2021,6,19,2021,6,21,2021,6,18
2021-06-20,0,0,0,0,0,0,2021,6,20,2021,6,21,2021,6,18
2021-06-21,1,0,0,0,0,7453,2021,6,21,2021,6,22,2021,6,18
2021-06-22,1,0,0,0,0,7454,2021,6,22,2021,6,23,2021,6,21
2021-06-23,1,0,0,0,0,7455,2021,6,23,2021,6,24,2021,6,22
2021-06-24,1,0,0,0,0,7456,2021,6,24,2021,6,25,2021,6,23
2021-06-25,1,1,0,0,0,7457,2021,6,25,2021,6,28,2021,6,24
2021-06-26,0,0,0,0,0,0,2021,6,26,2021,6,28,2021,6,25
2021-06-27,0,0,0,0,0,0,2021,6,27,2021,6,28,2021,6,25
2021-06-28,1,0,0,0,0,7458,2021,6,28,2021,6,29,2021,6,25
2021-06-29,1,0,0,0,0,7459,2021,6,29,2021,6,30,2021,6,28
2021-06-30,1,0,1,1,0,7460,2021,6,30,2021,7,1,2021,6,29
2021-07-01,1,0,0,0,0,7461,2021,7,1,2021,7,2,2021,6,30
2021-07-02,1,1,0,0,0,7462,2021,7,2,2021,7,5,2021,7,1
2021-07-03,0,0,0,0,0,0,2021,7,3,2021,7,5,2021,7,2
2021-07-04,0,0,0,0,0,0,2021,7,4,2021,7,5,2021,7,2
2021-07-05,1,0,0,0,0,7463,2021,7,5,2021,7,6,2021,7,2
2021-07-06,1,0,0,0,0,7464,2021,7,6,2021,7,7,2021,7,5
2021-07-07,1,0,0,0,0,7465,2021,7,7,2021,7,8,2021,7,6
2021-07-08,1,0,0,0,0,7466,2021,7,8,2021,7,9,2021,7,7
2021-07-09,1,1,0,0,0,7467,2021,7,9,2021,7,12,2021,7,8
2021-07-10,0,0,0,0,0,0,2021,7,10,2021,7,12,2021,7,9
2021-07-11,0,0,0,0,0,0,2021,7,11,2021,7,12,2021,7,9
2021-07-12,1,0,0,0,0,7468,2021,7,12,2021,7,13,2021,7,9
2021-07-13,1,0,0,0,0,7469,2021,7,13,2021,7,14,2021,7,12
2021-07-14,1,0,0,0,0,7470,2021,7,14,2021,7,15,2021,7,13
2021-07-15,1,0,0,0,0,7471,2021,7,15,2021,7,16,2021,7,14
2021-07-16,1,1,0,0,0,7472,2021,7,16,2021,7,19,2021,7,15
2021-07-17,0,0,0,0,0,0,2021,7,17,2021,7,19,2021,7,16
2021-07-18,0,0,0,0,0,0,2021,7,18,2021,7,19,2021,7,16
2021-07-19,1,0,0,0,0,7473,2021,7,19,2021,7,20,2021,7,16
2021-07-20,1,0,0,0,0,7474,2021,7,20,2021,7,21,2021,7,19
2021-07-21,1,0,0,0,0,7475,2021,7,21,2021,7,22,2021,7,20
2021-07-22,1,0,0,0,0,7476,2021,7,22,2021,7,23,2021,7,21
2021-07-23,1,1,0,0,0,7477,2021,7,23,2021,7,26,2021,7,22
2021-07-24,0,0,0,0,0,0,2021,7,24,2021,7,26,2021,7,23
2021-07-25,0,0,0,0,0,0,2021,7,25,2021,7,26,2021,7,23
2021-07-26,1,0,0,0,0,7478,2021,7,26,2021,7,27,2021,7,23
2021-07-27,1,0,0,0,0,7479,2021,7,27,2021,7,28,2021,7,26
2021-07-28,1,0,0,0,0,7480,2021,7,28,2021,7,29,2021,7,27
2021-07-29,1,0,0,0,0,7481,2021,7,29,2021,7,30,2021,7,28
2021-07-30,1,1,1,0,0,7482,2021,7,30,2021,8,2,2021,7,29
2021-07-31,0,0,0,0,0,0,2021,7,31,2021,8,2,2021,7,30
2021-08-01,0,0,0,0,0,0,2021,8,1,2021,8,2,2021,7,30
2021-08-02,1,0,0,0,0,7483,2021,8,2,2021,8,3,2021,7,30
2021-08-03,1,0,0,0,0,7484,2021,8,3,2021,8,4,2021,8,2
2021-08-04,1,0,0,0,0,7485,2021,8,4,2021,8,5,2021,8,3
2021-08-05,1,0,0,0,0,7486,2021,8,5,2021,8,6,2021,8,4
2021-08-06,1,1,0,0,0,7487,2021,8,6,2021,8,9,2021,8,5
2021-08-07,0,0,0,0,0,0,2021,8,7,2021,8,9,2021,8,6
2021-08-08,0,0,0,0,0,0,2021,8,8,2021,8,9,2021,8,6
2021-08-09,1,0,0,0,0,7488,2021,8,9,2021,8,10,2021,8,6
2021-08-10,1,0,0,0,0,7489,2021,8,10,2021,8,11,2021,8,9
2021-08-11,1,0,0,0,0,7490,2021,8,11,2021,8,12,2021,8,10
2021-08-12,1,0,0,0,0,7491,2021,8,12,2021,8,13,2021,8,11
2021-08-13,1,1,0,0,0,7492,2021,8,13,2021,8,16,2021,8,12
2021-08-14,0,0,0,0,0,0,2021,8,14,2021,8,16,2021,8,13
2021-08-15,0,0,0,0,0,0,2021,8,15,2021,8,16,2021,8,13
2021-08-16,1,0,0,0,0,7493,2021,8,16,2021,8,17,2021,8,13
2021-08-17,1,0,0,0,0,7494,2021,8,17,2021,8,18,2021,8,16
2021-08-18,1,0,0,0,0,7495,2021,8,18,2021,8,19,2021,8,17
2021-08-19,1,0,0,0,0,7496,2021,8,19,2021,8,20,2021,8,18
2021-08-20,1,1,0,0,0,7497,2021,8,20,2021,8,23,2021,8,19
2021-08-21,0,0,0,0,0,0,2021,8,21,2021,8,23,2021,8,20
2021-08-22,0,0,0,0,0,0,2021,8,22,2021,8,23,2021,8,20
2021-08-23,1,0,0,0,0,7498,2021,8,23,2021,8,24,2021,8,20
2021-08-24,1,0,0,0,0,7499,2021,8,24,2021,8,25,2021,8,23
2021-08-25,1,0,0,0,0,7500,2021,8,25,2021,8,26,2021,8,24
2021-08-26,1,0,0,0,0,7501,2021,8,26,2021,8,27,2021,8,25
2021-08-27,1,1,0,0,0,7502,2021,8,27,2021,8,30,2021,8,26
2021-08-28,0,0,0,0,0,0,2021,8,28,2021,8,30,2021,8,27
2021-08-29,0,0,0,0,0,0,2021,8,29,2021,8,30,2021,8,27
2021-08-30,1,0,0,0,0,7503,2021,8,30,2021,8,31,2021,8,27
2021-08-31,1,0,1,0,0,7504,2021,8,31,2021,9,1,2021,8,30
2021-09-01,1,0,0,0,0,7505,2021,9,1,2021,9,2,2021,8,31
2021-09-02,1,0,0,0,0,7506,2021,9,2,2021,9,3,2021,9,1
2021-09-03,1,1,0,0,0,7507,2021,9,3,2021,9,6,2021,9,2
2021-09-04,0,0,0,0,0,0,2021,9,4,2021,9,6,2021,9,3
2021-09-05,0,0,0,0,0,0,2021,9,5,2021,9,6,2021,9,3
2021-09-06,1,0,0,0,0,7508,2021,9,6,2021,9,7,2021,9,3
2021-09-07,1,0,0,0,0,7509,2021,9,7,2021,9,8,2021,9,6
2021-09-08,1,0,0,0,0,7510,2021,9,8,2021,9,9,2021,9,7
2021-09-09,1,0,0,0,0,7511,2021,9,9,2021,9,10,2021,9,8
2021-09-10,1,1,0,0,0,7512,2021,9,10,2021,9,13,2021,9,9
2021-09-11,0,0,0,0,0,0,2021,9,11,2021,9,13,2021,9,10
2021-09-12,0,0,0,0,0,0,2021,9,12,2021,9,13,2021,9,10
2021-09-13,1,0,0,0,0,7513,2021,9,13,2021,9,14,2021,9,10
2021-09-14,1,0,0,0,0,7514,2021,9,14,2021,9,15,2021,9,13
2021-09-15,1,0,0,0,0,7515,2021,9,15,2021,9,16,2021,9,14
2021-09-16,1,0,0,0,0,7516,2021,9,16,2021,9,17,2021,9,15
2021-09-17,1,1,0,0,0,7517,2021,9,17,2021,9,22,2021,9,16
2021-09-18,0,0,0,0,0,0,2021,9,18,2021,9,22,2021,9,17
2021-09-19,0,0,0,0,0,0,2021,9,19,2021,9,22,2021,9,17
2021-09-20,0,0,0,0,0,0,2021,9,20,2021,9,22,2021,9,17
2021-09-21,0,0,0,0,0,0,2021,9,21,2021,9,22,2021,9,17
2021-09-22,1,0,0,0,0,7518,2021,9,22,2021,9,23,2021,9,17
2021-09-23,1,0,0,0,0,7519,2021,9,23,2021,9,24,2021,9,22
2021-09-24,1,1,0,0,0,7520,2021,9,24,2021,9,27,2021,9,23
2021-09-25,0,0,0,0,0,0,2021,9,25,2021,9,27,2021,9,24
2021-09-26,0,0,0,0,0,0,2021,9,26,2021,9,27,2021,9,24
2021-09-27,1,0,0,0,0,7521,2021,9,27,2021,9,28,2021,9,24
2021-09-28,1,0,0,0,0,7522,2021,9,28,2021,9,29,2021,9,27
2021-09-29,1,0,0,0,0,7523,2021,9,29,2021,9,30,2021,9,28
2021-09-30,1,1,1,1,0,7524,2021,9,30,2021,10,8,2021,9,29
2021-10-01,0,0,0,0,0,0,2021,10,1,2021,10,8,2021,9,30
2021-10-02,0,0,0,0,0,0,2021,10,2,2021,10,8,2021,9,30
2021-10-03,0,0,0,0,0,0,2021,10,3,2021,10,8,2021,9,30
2021-10-04,0,0,0,0,0,0,2021,10,4,2021,10,8,2021,9,30
2021-10-05,0,0,0,0,0,0,2021,10,5,2021,10,8,2021,9,30
